,PDB_File,Salt_Bridge_Count
0,mpnn_ecoli/AF-Q8FFV5-F1-model_v4_mpnn_0001.pdb,13
1,mpnn_ecoli/AF-P68066-F1-model_v4_mpnn_0001.pdb,5
2,mpnn_ecoli/AF-Q8XAN7-F1-model_v4_mpnn_0001.pdb,3
3,mpnn_ecoli/AF-P45532-F1-model_v4_mpnn_0001.pdb,5
4,mpnn_ecoli/AF-P0AAK7-F1-model_v4_mpnn_0001.pdb,4
5,mpnn_ecoli/AF-P42640-F1-model_v4_mpnn_0001.pdb,12
6,mpnn_ecoli/AF-P33022-F1-model_v4_mpnn_0001.pdb,8
7,mpnn_ecoli/AF-P0AD07-F1-model_v4_mpnn_0001.pdb,1
8,mpnn_ecoli/AF-P33230-F1-model_v4_mpnn_0001.pdb,4
9,mpnn_ecoli/AF-P0AB85-F1-model_v4_mpnn_0001.pdb,11
10,mpnn_ecoli/AF-P21156-F1-model_v4_mpnn_0001.pdb,13
11,mpnn_ecoli/AF-P11899-F1-model_v4_mpnn_0001.pdb,4
12,mpnn_ecoli/AF-P07110-F1-model_v4_mpnn_0001.pdb,30
13,mpnn_ecoli/AF-P0AEE1-F1-model_v4_mpnn_0001.pdb,2
14,mpnn_ecoli/AF-P76102-F1-model_v4_mpnn_0001.pdb,12
15,mpnn_ecoli/AF-P23837-F1-model_v4_mpnn_0001.pdb,17
16,mpnn_ecoli/AF-P29018-F1-model_v4_mpnn_0001.pdb,18
17,mpnn_ecoli/AF-P21418-F1-model_v4_mpnn_0001.pdb,3
18,mpnn_ecoli/AF-P0AC75-F1-model_v4_mpnn_0001.pdb,10
19,mpnn_ecoli/AF-P24182-F1-model_v4_mpnn_0001.pdb,15
20,mpnn_ecoli/AF-P77609-F1-model_v4_mpnn_0001.pdb,3
21,mpnn_ecoli/AF-P77506-F1-model_v4_mpnn_0001.pdb,3
22,mpnn_ecoli/AF-P68183-F1-model_v4_mpnn_0001.pdb,6
23,mpnn_ecoli/AF-P33341-F1-model_v4_mpnn_0001.pdb,18
24,mpnn_ecoli/AF-P60422-F1-model_v4_mpnn_0001.pdb,5
25,mpnn_ecoli/AF-P0ACE7-F1-model_v4_mpnn_0001.pdb,5
26,mpnn_ecoli/AF-P76319-F1-model_v4_mpnn_0001.pdb,3
27,mpnn_ecoli/AF-P75908-F1-model_v4_mpnn_0001.pdb,16
28,mpnn_ecoli/AF-P46890-F1-model_v4_mpnn_0001.pdb,14
29,mpnn_ecoli/AF-P0ACW2-F1-model_v4_mpnn_0001.pdb,1
30,mpnn_ecoli/AF-P45539-F1-model_v4_mpnn_0001.pdb,7
31,mpnn_ecoli/AF-P76061-F1-model_v4_mpnn_0001.pdb,2
32,mpnn_ecoli/AF-P0ACK2-F1-model_v4_mpnn_0001.pdb,10
33,mpnn_ecoli/AF-Q6XGD5-F1-model_v4_mpnn_0001.pdb,5
34,mpnn_ecoli/AF-P0AG51-F1-model_v4_mpnn_0001.pdb,2
35,mpnn_ecoli/AF-P0A817-F1-model_v4_mpnn_0001.pdb,12
36,mpnn_ecoli/AF-P0ACL7-F1-model_v4_mpnn_0001.pdb,8
37,mpnn_ecoli/AF-A0A0H2VCA1-F1-model_v4_mpnn_0001.pdb,31
38,mpnn_ecoli/AF-P76344-F1-model_v4_mpnn_0001.pdb,5
39,mpnn_ecoli/AF-P76510-F1-model_v4_mpnn_0001.pdb,2
40,mpnn_ecoli/AF-P0A881-F1-model_v4_mpnn_0001.pdb,5
41,mpnn_ecoli/AF-P71311-F1-model_v4_mpnn_0001.pdb,11
42,mpnn_ecoli/AF-P33018-F1-model_v4_mpnn_0001.pdb,3
43,mpnn_ecoli/AF-P39366-F1-model_v4_mpnn_0001.pdb,14
44,mpnn_ecoli/AF-P0AAW1-F1-model_v4_mpnn_0001.pdb,11
45,mpnn_ecoli/AF-P07621-F1-model_v4_mpnn_0001.pdb,8
46,mpnn_ecoli/AF-P77730-F1-model_v4_mpnn_0001.pdb,15
47,mpnn_ecoli/AF-P46141-F1-model_v4_mpnn_0001.pdb,1
48,mpnn_ecoli/AF-P33669-F1-model_v4_mpnn_0001.pdb,0
49,mpnn_ecoli/AF-P0A6W0-F1-model_v4_mpnn_0001.pdb,4
50,mpnn_ecoli/AF-P13001-F1-model_v4_mpnn_0001.pdb,8
51,mpnn_ecoli/AF-P0AFS5-F1-model_v4_mpnn_0001.pdb,4
52,mpnn_ecoli/AF-Q46892-F1-model_v4_mpnn_0001.pdb,14
53,mpnn_ecoli/AF-P32055-F1-model_v4_mpnn_0001.pdb,5
54,mpnn_ecoli/AF-P24186-F1-model_v4_mpnn_0001.pdb,9
55,mpnn_ecoli/AF-P13018-F1-model_v4_mpnn_0001.pdb,2
56,mpnn_ecoli/AF-P09155-F1-model_v4_mpnn_0001.pdb,14
57,mpnn_ecoli/AF-P0A700-F1-model_v4_mpnn_0001.pdb,2
58,mpnn_ecoli/AF-P76162-F1-model_v4_mpnn_0001.pdb,7
59,mpnn_ecoli/AF-P0AFW2-F1-model_v4_mpnn_0001.pdb,2
60,mpnn_ecoli/AF-P19931-F1-model_v4_mpnn_0001.pdb,1
61,mpnn_ecoli/AF-P0A935-F1-model_v4_mpnn_0001.pdb,10
62,mpnn_ecoli/AF-P76909-F1-model_v4_mpnn_0001.pdb,3
63,mpnn_ecoli/AF-P28249-F1-model_v4_mpnn_0001.pdb,11
64,mpnn_ecoli/AF-P0AEU3-F1-model_v4_mpnn_0001.pdb,3
65,mpnn_ecoli/AF-Q47689-F1-model_v4_mpnn_0001.pdb,10
66,mpnn_ecoli/AF-P36683-F1-model_v4_mpnn_0001.pdb,34
67,mpnn_ecoli/AF-Q47223-F1-model_v4_mpnn_0001.pdb,1
68,mpnn_ecoli/AF-P75726-F1-model_v4_mpnn_0001.pdb,20
69,mpnn_ecoli/AF-P52123-F1-model_v4_mpnn_0001.pdb,5
70,mpnn_ecoli/AF-P31697-F1-model_v4_mpnn_0001.pdb,7
71,mpnn_ecoli/AF-P0DTF3-F1-model_v4_mpnn_0001.pdb,6
72,mpnn_ecoli/AF-P03960-F1-model_v4_mpnn_0001.pdb,24
73,mpnn_ecoli/AF-P76342-F1-model_v4_mpnn_0001.pdb,10
74,mpnn_ecoli/AF-P08371-F1-model_v4_mpnn_0001.pdb,5
75,mpnn_ecoli/AF-P0AA91-F1-model_v4_mpnn_0001.pdb,2
76,mpnn_ecoli/AF-P0A746-F1-model_v4_mpnn_0001.pdb,5
77,mpnn_ecoli/AF-P15042-F1-model_v4_mpnn_0001.pdb,16
78,mpnn_ecoli/AF-P19636-F1-model_v4_mpnn_0001.pdb,9
79,mpnn_ecoli/AF-P08244-F1-model_v4_mpnn_0001.pdb,7
80,mpnn_ecoli/AF-Q46824-F1-model_v4_mpnn_0001.pdb,5
81,mpnn_ecoli/AF-P16686-F1-model_v4_mpnn_0001.pdb,3
82,mpnn_ecoli/AF-P0AAA7-F1-model_v4_mpnn_0001.pdb,3
83,mpnn_ecoli/AF-A1AJF5-F1-model_v4_mpnn_0001.pdb,14
84,mpnn_ecoli/AF-P00803-F1-model_v4_mpnn_0001.pdb,10
85,mpnn_ecoli/AF-P42915-F1-model_v4_mpnn_0001.pdb,20
86,mpnn_ecoli/AF-P0DMC7-F1-model_v4_mpnn_0001.pdb,14
87,mpnn_ecoli/AF-P45568-F1-model_v4_mpnn_0001.pdb,12
88,mpnn_ecoli/AF-P39321-F1-model_v4_mpnn_0001.pdb,35
89,mpnn_ecoli/AF-P0A9Q7-F1-model_v4_mpnn_0001.pdb,22
90,mpnn_ecoli/AF-B7UM69-F1-model_v4_mpnn_0001.pdb,14
91,mpnn_ecoli/AF-P77213-F1-model_v4_mpnn_0001.pdb,12
92,mpnn_ecoli/AF-P37678-F1-model_v4_mpnn_0001.pdb,7
93,mpnn_ecoli/AF-P0ACZ4-F1-model_v4_mpnn_0001.pdb,13
94,mpnn_ecoli/AF-P0DSH4-F1-model_v4_mpnn_0001.pdb,0
95,mpnn_ecoli/AF-P0AEY3-F1-model_v4_mpnn_0001.pdb,3
96,mpnn_ecoli/AF-P0AFI5-F1-model_v4_mpnn_0001.pdb,10
97,mpnn_ecoli/AF-P07026-F1-model_v4_mpnn_0001.pdb,6
98,mpnn_ecoli/AF-P42913-F1-model_v4_mpnn_0001.pdb,6
99,mpnn_ecoli/AF-A7ZL19-F1-model_v4_mpnn_0001.pdb,0
100,mpnn_ecoli/AF-P07620-F1-model_v4_mpnn_0001.pdb,16
101,mpnn_ecoli/AF-P76540-F1-model_v4_mpnn_0001.pdb,4
102,mpnn_ecoli/AF-P0A6R3-F1-model_v4_mpnn_0001.pdb,0
103,mpnn_ecoli/AF-P0ACH5-F1-model_v4_mpnn_0001.pdb,3
104,mpnn_ecoli/AF-P32170-F1-model_v4_mpnn_0001.pdb,13
105,mpnn_ecoli/AF-P0AAR5-F1-model_v4_mpnn_0001.pdb,6
106,mpnn_ecoli/AF-P0AEK0-F1-model_v4_mpnn_0001.pdb,4
107,mpnn_ecoli/AF-Q46806-F1-model_v4_mpnn_0001.pdb,14
108,mpnn_ecoli/AF-P42588-F1-model_v4_mpnn_0001.pdb,16
109,mpnn_ecoli/AF-B7UTE8-F1-model_v4_mpnn_0001.pdb,4
110,mpnn_ecoli/AF-P76082-F1-model_v4_mpnn_0001.pdb,17
111,mpnn_ecoli/AF-P0ACU7-F1-model_v4_mpnn_0001.pdb,7
112,mpnn_ecoli/AF-P34209-F1-model_v4_mpnn_0001.pdb,7
113,mpnn_ecoli/AF-P20861-F1-model_v4_mpnn_0001.pdb,2
114,mpnn_ecoli/AF-Q46811-F1-model_v4_mpnn_0001.pdb,20
115,mpnn_ecoli/AF-P06616-F1-model_v4_mpnn_0001.pdb,15
116,mpnn_ecoli/AF-B7N5W6-F1-model_v4_mpnn_0001.pdb,7
117,mpnn_ecoli/AF-P0AE88-F1-model_v4_mpnn_0001.pdb,10
118,mpnn_ecoli/AF-P43340-F1-model_v4_mpnn_0001.pdb,6
119,mpnn_ecoli/AF-P0ADP5-F1-model_v4_mpnn_0001.pdb,1
120,mpnn_ecoli/AF-P0AB18-F1-model_v4_mpnn_0001.pdb,5
121,mpnn_ecoli/AF-P32685-F1-model_v4_mpnn_0001.pdb,3
122,mpnn_ecoli/AF-Q02885-F1-model_v4_mpnn_0001.pdb,1
123,mpnn_ecoli/AF-P0C0L7-F1-model_v4_mpnn_0001.pdb,13
124,mpnn_ecoli/AF-P69856-F1-model_v4_mpnn_0001.pdb,7
125,mpnn_ecoli/AF-P76575-F1-model_v4_mpnn_0001.pdb,1
126,mpnn_ecoli/AF-Q9S4W2-F1-model_v4_mpnn_0001.pdb,17
127,mpnn_ecoli/AF-P42616-F1-model_v4_mpnn_0001.pdb,10
128,mpnn_ecoli/AF-P46136-F1-model_v4_mpnn_0001.pdb,1
129,mpnn_ecoli/AF-P0ABD3-F1-model_v4_mpnn_0001.pdb,3
130,mpnn_ecoli/AF-P52005-F1-model_v4_mpnn_0001.pdb,12
131,mpnn_ecoli/AF-P37590-F1-model_v4_mpnn_0001.pdb,0
132,mpnn_ecoli/AF-P0A6T9-F1-model_v4_mpnn_0001.pdb,0
133,mpnn_ecoli/AF-P39342-F1-model_v4_mpnn_0001.pdb,15
134,mpnn_ecoli/AF-P25743-F1-model_v4_mpnn_0001.pdb,7
135,mpnn_ecoli/AF-P0ADF0-F1-model_v4_mpnn_0001.pdb,0
136,mpnn_ecoli/AF-Q9JMT5-F1-model_v4_mpnn_0001.pdb,2
137,mpnn_ecoli/AF-P0A7E3-F1-model_v4_mpnn_0001.pdb,10
138,mpnn_ecoli/AF-P25448-F1-model_v4_mpnn_0001.pdb,6
139,mpnn_ecoli/AF-P76521-F1-model_v4_mpnn_0001.pdb,0
140,mpnn_ecoli/AF-P45800-F1-model_v4_mpnn_0001.pdb,22
141,mpnn_ecoli/AF-Q3YL95-F1-model_v4_mpnn_0001.pdb,0
