,PDB_File,Salt_Bridge_Count
0,mpnn_tuned_ecoli/AF-P45468-F1-model_v4.pdb,4
1,mpnn_tuned_ecoli/AF-P76352-F1-model_v4.pdb,3
2,mpnn_tuned_ecoli/AF-P63417-F1-model_v4.pdb,7
3,mpnn_tuned_ecoli/AF-P77585-F1-model_v4.pdb,19
4,mpnn_tuned_ecoli/AF-Q9JMR7-F1-model_v4.pdb,3
5,mpnn_tuned_ecoli/AF-P75993-F1-model_v4.pdb,4
6,mpnn_tuned_ecoli/AF-A1AJF5-F1-model_v4.pdb,22
7,mpnn_tuned_ecoli/AF-P16676-F1-model_v4.pdb,17
8,mpnn_tuned_ecoli/AF-P0DPN3-F1-model_v4.pdb,0
9,mpnn_tuned_ecoli/AF-P0ABB8-F1-model_v4.pdb,38
10,mpnn_tuned_ecoli/AF-P33344-F1-model_v4.pdb,4
11,mpnn_tuned_ecoli/AF-P0AC69-F1-model_v4.pdb,8
12,mpnn_tuned_ecoli/AF-P08400-F1-model_v4.pdb,16
13,mpnn_tuned_ecoli/AF-P11902-F1-model_v4.pdb,0
14,mpnn_tuned_ecoli/AF-P37665-F1-model_v4.pdb,6
15,mpnn_tuned_ecoli/AF-P0A8N7-F1-model_v4.pdb,18
16,mpnn_tuned_ecoli/AF-P00816-F1-model_v4.pdb,11
17,mpnn_tuned_ecoli/AF-P25747-F1-model_v4.pdb,9
18,mpnn_tuned_ecoli/AF-P77567-F1-model_v4.pdb,20
19,mpnn_tuned_ecoli/AF-Q46978-F1-model_v4.pdb,22
20,mpnn_tuned_ecoli/AF-P21599-F1-model_v4.pdb,24
21,mpnn_tuned_ecoli/AF-P30855-F1-model_v4.pdb,34
22,mpnn_tuned_ecoli/AF-P77375-F1-model_v4.pdb,9
23,mpnn_tuned_ecoli/AF-P64624-F1-model_v4.pdb,7
24,mpnn_tuned_ecoli/AF-P0AAT4-F1-model_v4.pdb,12
25,mpnn_tuned_ecoli/AF-P37443-F1-model_v4.pdb,27
