,PDB_File,Salt_Bridge_Count
0,ecoli_AF_filtered/AF-P45468-F1-model_v4.pdb,1
1,ecoli_AF_filtered/AF-P76352-F1-model_v4.pdb,11
2,ecoli_AF_filtered/AF-P63417-F1-model_v4.pdb,11
3,ecoli_AF_filtered/AF-P77585-F1-model_v4.pdb,31
4,ecoli_AF_filtered/AF-Q9JMR7-F1-model_v4.pdb,2
5,ecoli_AF_filtered/AF-P75993-F1-model_v4.pdb,2
6,ecoli_AF_filtered/AF-A1AJF5-F1-model_v4.pdb,29
7,ecoli_AF_filtered/AF-P16676-F1-model_v4.pdb,19
8,ecoli_AF_filtered/AF-P0DPN3-F1-model_v4.pdb,0
9,ecoli_AF_filtered/AF-P0ABB8-F1-model_v4.pdb,42
10,ecoli_AF_filtered/AF-P33344-F1-model_v4.pdb,1
11,ecoli_AF_filtered/AF-P0AC69-F1-model_v4.pdb,5
12,ecoli_AF_filtered/AF-P08400-F1-model_v4.pdb,16
13,ecoli_AF_filtered/AF-P11902-F1-model_v4.pdb,0
14,ecoli_AF_filtered/AF-P37665-F1-model_v4.pdb,7
15,ecoli_AF_filtered/AF-P0A8N7-F1-model_v4.pdb,23
16,ecoli_AF_filtered/AF-P00816-F1-model_v4.pdb,8
17,ecoli_AF_filtered/AF-P25747-F1-model_v4.pdb,9
18,ecoli_AF_filtered/AF-P77567-F1-model_v4.pdb,17
19,ecoli_AF_filtered/AF-Q46978-F1-model_v4.pdb,32
20,ecoli_AF_filtered/AF-P21599-F1-model_v4.pdb,32
21,ecoli_AF_filtered/AF-P30855-F1-model_v4.pdb,40
22,ecoli_AF_filtered/AF-P77375-F1-model_v4.pdb,16
23,ecoli_AF_filtered/AF-P64624-F1-model_v4.pdb,6
24,ecoli_AF_filtered/AF-P0AAT4-F1-model_v4.pdb,15
25,ecoli_AF_filtered/AF-P37443-F1-model_v4.pdb,16
26,ecoli_AF_filtered/AF-P58127-F1-model_v4.pdb,16
27,ecoli_AF_filtered/AF-P39304-F1-model_v4.pdb,10
28,ecoli_AF_filtered/AF-P0AB67-F1-model_v4.pdb,6
29,ecoli_AF_filtered/AF-P68187-F1-model_v4.pdb,18
30,ecoli_AF_filtered/AF-P52134-F1-model_v4.pdb,0
31,ecoli_AF_filtered/AF-P76575-F1-model_v4.pdb,1
32,ecoli_AF_filtered/AF-P0A6X3-F1-model_v4.pdb,3
33,ecoli_AF_filtered/AF-P62522-F1-model_v4.pdb,0
34,ecoli_AF_filtered/AF-P75919-F1-model_v4.pdb,34
35,ecoli_AF_filtered/AF-P0ABT8-F1-model_v4.pdb,2
36,ecoli_AF_filtered/AF-P75747-F1-model_v4.pdb,1
37,ecoli_AF_filtered/AF-P10030-F1-model_v4.pdb,26
38,ecoli_AF_filtered/AF-P13669-F1-model_v4.pdb,27
39,ecoli_AF_filtered/AF-P37016-F1-model_v4.pdb,4
40,ecoli_AF_filtered/AF-P25888-F1-model_v4.pdb,29
41,ecoli_AF_filtered/AF-P76257-F1-model_v4.pdb,34
42,ecoli_AF_filtered/AF-A1ABI2-F1-model_v4.pdb,20
43,ecoli_AF_filtered/AF-P0A9I5-F1-model_v4.pdb,2
44,ecoli_AF_filtered/AF-P0A9M2-F1-model_v4.pdb,21
45,ecoli_AF_filtered/AF-P31979-F1-model_v4.pdb,42
46,ecoli_AF_filtered/AF-P08201-F1-model_v4.pdb,73
47,ecoli_AF_filtered/AF-P0AFC0-F1-model_v4.pdb,13
48,ecoli_AF_filtered/AF-P0A805-F1-model_v4.pdb,19
49,ecoli_AF_filtered/AF-D3GSC3-F1-model_v4.pdb,17
50,ecoli_AF_filtered/AF-P76507-F1-model_v4.pdb,16
51,ecoli_AF_filtered/AF-P39165-F1-model_v4.pdb,17
52,ecoli_AF_filtered/AF-P32705-F1-model_v4.pdb,14
53,ecoli_AF_filtered/AF-P0DPS1-F1-model_v4.pdb,37
54,ecoli_AF_filtered/AF-P77165-F1-model_v4.pdb,13
55,ecoli_AF_filtered/AF-P08331-F1-model_v4.pdb,46
56,ecoli_AF_filtered/AF-P0A8B5-F1-model_v4.pdb,7
57,ecoli_AF_filtered/AF-P0AF28-F1-model_v4.pdb,16
58,ecoli_AF_filtered/AF-P42213-F1-model_v4.pdb,21
59,ecoli_AF_filtered/AF-P10485-F1-model_v4.pdb,24
60,ecoli_AF_filtered/AF-Q00738-F1-model_v4.pdb,13
61,ecoli_AF_filtered/AF-P0A7F6-F1-model_v4.pdb,11
62,ecoli_AF_filtered/AF-Q1R535-F1-model_v4.pdb,5
63,ecoli_AF_filtered/AF-P0A9P9-F1-model_v4.pdb,13
64,ecoli_AF_filtered/AF-P78055-F1-model_v4.pdb,7
65,ecoli_AF_filtered/AF-P0AAM3-F1-model_v4.pdb,2
66,ecoli_AF_filtered/AF-A0A1S4NYE4-F1-model_v4.pdb,4
67,ecoli_AF_filtered/AF-P0ABD8-F1-model_v4.pdb,9
68,ecoli_AF_filtered/AF-P76072-F1-model_v4.pdb,34
69,ecoli_AF_filtered/AF-P0A8G3-F1-model_v4.pdb,52
70,ecoli_AF_filtered/AF-P0A776-F1-model_v4.pdb,9
71,ecoli_AF_filtered/AF-P0ACS9-F1-model_v4.pdb,8
72,ecoli_AF_filtered/AF-P42597-F1-model_v4.pdb,9
73,ecoli_AF_filtered/AF-P0AFV0-F1-model_v4.pdb,13
74,ecoli_AF_filtered/AF-P39376-F1-model_v4.pdb,20
75,ecoli_AF_filtered/AF-P32131-F1-model_v4.pdb,39
76,ecoli_AF_filtered/AF-P0ACZ2-F1-model_v4.pdb,9
77,ecoli_AF_filtered/AF-P39286-F1-model_v4.pdb,18
78,ecoli_AF_filtered/AF-P76143-F1-model_v4.pdb,15
79,ecoli_AF_filtered/AF-P00936-F1-model_v4.pdb,42
80,ecoli_AF_filtered/AF-P52598-F1-model_v4.pdb,13
81,ecoli_AF_filtered/AF-Q8X5Q4-F1-model_v4.pdb,31
82,ecoli_AF_filtered/AF-P0AD37-F1-model_v4.pdb,8
83,ecoli_AF_filtered/AF-P0AA31-F1-model_v4.pdb,2
84,ecoli_AF_filtered/AF-P05458-F1-model_v4.pdb,69
85,ecoli_AF_filtered/AF-P75810-F1-model_v4.pdb,9
86,ecoli_AF_filtered/AF-A7ZSN0-F1-model_v4.pdb,3
87,ecoli_AF_filtered/AF-Q93K97-F1-model_v4.pdb,19
88,ecoli_AF_filtered/AF-P75797-F1-model_v4.pdb,20
89,ecoli_AF_filtered/AF-O82882-F1-model_v4.pdb,45
90,ecoli_AF_filtered/AF-Q8X7P7-F1-model_v4.pdb,22
91,ecoli_AF_filtered/AF-P05719-F1-model_v4.pdb,26
92,ecoli_AF_filtered/AF-P37772-F1-model_v4.pdb,3
93,ecoli_AF_filtered/AF-P0A6U5-F1-model_v4.pdb,11
94,ecoli_AF_filtered/AF-P32672-F1-model_v4.pdb,7
95,ecoli_AF_filtered/AF-P07639-F1-model_v4.pdb,26
96,ecoli_AF_filtered/AF-P37351-F1-model_v4.pdb,9
97,ecoli_AF_filtered/AF-P0A7P5-F1-model_v4.pdb,0
98,ecoli_AF_filtered/AF-P46891-F1-model_v4.pdb,15
99,ecoli_AF_filtered/AF-P45548-F1-model_v4.pdb,23
100,ecoli_AF_filtered/AF-P76073-F1-model_v4.pdb,4
101,ecoli_AF_filtered/AF-P26218-F1-model_v4.pdb,31
102,ecoli_AF_filtered/AF-P77169-F1-model_v4.pdb,21
103,ecoli_AF_filtered/AF-P36547-F1-model_v4.pdb,20
104,ecoli_AF_filtered/AF-P11899-F1-model_v4.pdb,7
105,ecoli_AF_filtered/AF-P23003-F1-model_v4.pdb,21
106,ecoli_AF_filtered/AF-P0A8P3-F1-model_v4.pdb,4
107,ecoli_AF_filtered/AF-P32326-F1-model_v4.pdb,7
108,ecoli_AF_filtered/AF-P77409-F1-model_v4.pdb,4
109,ecoli_AF_filtered/AF-P37595-F1-model_v4.pdb,14
110,ecoli_AF_filtered/AF-P32696-F1-model_v4.pdb,0
111,ecoli_AF_filtered/AF-P0ABG1-F1-model_v4.pdb,5
112,ecoli_AF_filtered/AF-P16678-F1-model_v4.pdb,17
113,ecoli_AF_filtered/AF-A0A0H2V8B5-F1-model_v4.pdb,13
114,ecoli_AF_filtered/AF-P0AEI6-F1-model_v4.pdb,8
115,ecoli_AF_filtered/AF-P37621-F1-model_v4.pdb,1
116,ecoli_AF_filtered/AF-P0A763-F1-model_v4.pdb,9
117,ecoli_AF_filtered/AF-P05833-F1-model_v4.pdb,26
118,ecoli_AF_filtered/AF-P75954-F1-model_v4.pdb,10
119,ecoli_AF_filtered/AF-P45423-F1-model_v4.pdb,20
120,ecoli_AF_filtered/AF-P0AB12-F1-model_v4.pdb,7
121,ecoli_AF_filtered/AF-P42909-F1-model_v4.pdb,11
122,ecoli_AF_filtered/AF-G3MTW7-F1-model_v4.pdb,0
123,ecoli_AF_filtered/AF-P45568-F1-model_v4.pdb,30
124,ecoli_AF_filtered/AF-P76038-F1-model_v4.pdb,16
125,ecoli_AF_filtered/AF-P07017-F1-model_v4.pdb,13
126,ecoli_AF_filtered/AF-P68659-F1-model_v4.pdb,1
127,ecoli_AF_filtered/AF-P00550-F1-model_v4.pdb,16
128,ecoli_AF_filtered/AF-P64471-F1-model_v4.pdb,0
129,ecoli_AF_filtered/AF-P52067-F1-model_v4.pdb,7
130,ecoli_AF_filtered/AF-P11904-F1-model_v4.pdb,14
131,ecoli_AF_filtered/AF-P05820-F1-model_v4.pdb,7
132,ecoli_AF_filtered/AF-A1A798-F1-model_v4.pdb,10
133,ecoli_AF_filtered/AF-P31825-F1-model_v4.pdb,11
134,ecoli_AF_filtered/AF-P43672-F1-model_v4.pdb,38
135,ecoli_AF_filtered/AF-P75946-F1-model_v4.pdb,7
136,ecoli_AF_filtered/AF-P76097-F1-model_v4.pdb,41
137,ecoli_AF_filtered/AF-P45545-F1-model_v4.pdb,20
138,ecoli_AF_filtered/AF-P76540-F1-model_v4.pdb,9
139,ecoli_AF_filtered/AF-P33644-F1-model_v4.pdb,11
140,ecoli_AF_filtered/AF-P13036-F1-model_v4.pdb,54
141,ecoli_AF_filtered/AF-P25535-F1-model_v4.pdb,27
142,ecoli_AF_filtered/AF-P0AEL6-F1-model_v4.pdb,16
143,ecoli_AF_filtered/AF-P07013-F1-model_v4.pdb,2
144,ecoli_AF_filtered/AF-P75785-F1-model_v4.pdb,20
145,ecoli_AF_filtered/AF-P30744-F1-model_v4.pdb,19
146,ecoli_AF_filtered/AF-P0AGB6-F1-model_v4.pdb,11
147,ecoli_AF_filtered/AF-P60560-F1-model_v4.pdb,20
148,ecoli_AF_filtered/AF-P0A8C1-F1-model_v4.pdb,2
149,ecoli_AF_filtered/AF-P24093-F1-model_v4.pdb,4
150,ecoli_AF_filtered/AF-P32170-F1-model_v4.pdb,31
151,ecoli_AF_filtered/AF-P33788-F1-model_v4.pdb,5
152,ecoli_AF_filtered/AF-C1P5Z9-F1-model_v4.pdb,0
153,ecoli_AF_filtered/AF-P09154-F1-model_v4.pdb,5
154,ecoli_AF_filtered/AF-P00370-F1-model_v4.pdb,24
155,ecoli_AF_filtered/AF-P0AFA2-F1-model_v4.pdb,23
156,ecoli_AF_filtered/AF-Q8XCY9-F1-model_v4.pdb,19
157,ecoli_AF_filtered/AF-P0A847-F1-model_v4.pdb,43
158,ecoli_AF_filtered/AF-P0ACD2-F1-model_v4.pdb,3
159,ecoli_AF_filtered/AF-P23886-F1-model_v4.pdb,21
160,ecoli_AF_filtered/AF-P22255-F1-model_v4.pdb,12
161,ecoli_AF_filtered/AF-P39288-F1-model_v4.pdb,24
162,ecoli_AF_filtered/AF-P0ACL9-F1-model_v4.pdb,25
163,ecoli_AF_filtered/AF-P0AA82-F1-model_v4.pdb,2
164,ecoli_AF_filtered/AF-P30850-F1-model_v4.pdb,64
165,ecoli_AF_filtered/AF-P64612-F1-model_v4.pdb,27
166,ecoli_AF_filtered/AF-P0ACH8-F1-model_v4.pdb,8
167,ecoli_AF_filtered/AF-P40191-F1-model_v4.pdb,10
168,ecoli_AF_filtered/AF-P0AF36-F1-model_v4.pdb,1
169,ecoli_AF_filtered/AF-P0AC53-F1-model_v4.pdb,45
170,ecoli_AF_filtered/AF-P0A6Y8-F1-model_v4.pdb,46
171,ecoli_AF_filtered/AF-A1AFA2-F1-model_v4.pdb,12
172,ecoli_AF_filtered/AF-P67910-F1-model_v4.pdb,15
173,ecoli_AF_filtered/AF-P76041-F1-model_v4.pdb,41
174,ecoli_AF_filtered/AF-P36677-F1-model_v4.pdb,7
175,ecoli_AF_filtered/AF-P0A9H5-F1-model_v4.pdb,8
176,ecoli_AF_filtered/AF-P77044-F1-model_v4.pdb,16
177,ecoli_AF_filtered/AF-P13033-F1-model_v4.pdb,15
178,ecoli_AF_filtered/AF-P77239-F1-model_v4.pdb,17
179,ecoli_AF_filtered/AF-P0A725-F1-model_v4.pdb,28
180,ecoli_AF_filtered/AF-P53518-F1-model_v4.pdb,10
181,ecoli_AF_filtered/AF-P0A8P6-F1-model_v4.pdb,16
182,ecoli_AF_filtered/AF-P0ABG7-F1-model_v4.pdb,8
183,ecoli_AF_filtered/AF-P09169-F1-model_v4.pdb,14
184,ecoli_AF_filtered/AF-P76474-F1-model_v4.pdb,0
185,ecoli_AF_filtered/AF-P76220-F1-model_v4.pdb,10
186,ecoli_AF_filtered/AF-P76630-F1-model_v4.pdb,4
187,ecoli_AF_filtered/AF-P28634-F1-model_v4.pdb,9
188,ecoli_AF_filtered/AF-P0AB03-F1-model_v4.pdb,17
189,ecoli_AF_filtered/AF-P0ACZ8-F1-model_v4.pdb,13
190,ecoli_AF_filtered/AF-P77504-F1-model_v4.pdb,29
191,ecoli_AF_filtered/AF-P76242-F1-model_v4.pdb,5
192,ecoli_AF_filtered/AF-P07024-F1-model_v4.pdb,44
193,ecoli_AF_filtered/AF-P39390-F1-model_v4.pdb,1
194,ecoli_AF_filtered/AF-P04846-F1-model_v4.pdb,12
195,ecoli_AF_filtered/AF-P64515-F1-model_v4.pdb,3
196,ecoli_AF_filtered/AF-P0AFX9-F1-model_v4.pdb,22
197,ecoli_AF_filtered/AF-P76308-F1-model_v4.pdb,1
198,ecoli_AF_filtered/AF-P41052-F1-model_v4.pdb,11
199,ecoli_AF_filtered/AF-P33014-F1-model_v4.pdb,2
200,ecoli_AF_filtered/AF-Q46856-F1-model_v4.pdb,27
201,ecoli_AF_filtered/AF-P0ABN1-F1-model_v4.pdb,1
202,ecoli_AF_filtered/AF-P0AD35-F1-model_v4.pdb,7
203,ecoli_AF_filtered/AF-P71244-F1-model_v4.pdb,19
