,PDB_File,Salt_Bridge_Count
0,thermo_AF_filtered//AF-A0A7C5X124-F1-model_v4.pdb,28
1,thermo_AF_filtered//AF-G4RMW4-F1-model_v4.pdb,27
2,thermo_AF_filtered//AF-A1RZZ8-F1-model_v4.pdb,30
3,thermo_AF_filtered//AF-A0A7C5Q236-F1-model_v4.pdb,10
4,thermo_AF_filtered//AF-A0A7C3SQ30-F1-model_v4.pdb,6
5,thermo_AF_filtered//AF-G4RPB7-F1-model_v4.pdb,9
6,thermo_AF_filtered//AF-A0A650CI90-F1-model_v4.pdb,2
7,thermo_AF_filtered//AF-Q9X054-F1-model_v4.pdb,11
8,thermo_AF_filtered//AF-A0A7C5Y2E6-F1-model_v4.pdb,39
9,thermo_AF_filtered//AF-E8R9K4-F1-model_v4.pdb,10
10,thermo_AF_filtered//AF-A0A0V8RW23-F1-model_v4.pdb,28
11,thermo_AF_filtered//AF-G0EG20-F1-model_v4.pdb,15
12,thermo_AF_filtered//AF-Q7LX71-F1-model_v4.pdb,11
13,thermo_AF_filtered//AF-G4RP34-F1-model_v4.pdb,4
14,thermo_AF_filtered//AF-Q8ZWW7-F1-model_v4.pdb,25
15,thermo_AF_filtered//AF-A0A7J3X5P5-F1-model_v4.pdb,10
16,thermo_AF_filtered//AF-A0A0V8RVG0-F1-model_v4.pdb,17
17,thermo_AF_filtered//AF-A0A7C5QEP6-F1-model_v4.pdb,2
18,thermo_AF_filtered//AF-A8MB19-F1-model_v4.pdb,9
19,thermo_AF_filtered//AF-A0A7C5SZU7-F1-model_v4.pdb,0
20,thermo_AF_filtered//AF-Q9YA27-F1-model_v4.pdb,7
21,thermo_AF_filtered//AF-A0A0V8RU97-F1-model_v4.pdb,22
22,thermo_AF_filtered//AF-G4RJX0-F1-model_v4.pdb,5
23,thermo_AF_filtered//AF-A8MBP2-F1-model_v4.pdb,6
24,thermo_AF_filtered//AF-D5U0G2-F1-model_v4.pdb,18
25,thermo_AF_filtered//AF-A0A650CE86-F1-model_v4.pdb,20
26,thermo_AF_filtered//AF-A0A0E3MBW1-F1-model_v4.pdb,17
27,thermo_AF_filtered//AF-A0A0U3FL74-F1-model_v4.pdb,10
28,thermo_AF_filtered//AF-A0A830GSN0-F1-model_v4.pdb,29
29,thermo_AF_filtered//AF-A2BL11-F1-model_v4.pdb,14
30,thermo_AF_filtered//AF-G0EGJ0-F1-model_v4.pdb,0
31,thermo_AF_filtered//AF-W0DAY3-F1-model_v4.pdb,11
32,thermo_AF_filtered//AF-A1RT69-F1-model_v4.pdb,33
33,thermo_AF_filtered//AF-A0A7C5SZC3-F1-model_v4.pdb,5
34,thermo_AF_filtered//AF-A0A371QYR4-F1-model_v4.pdb,2
35,thermo_AF_filtered//AF-E8RA05-F1-model_v4.pdb,4
36,thermo_AF_filtered//AF-A2BLG0-F1-model_v4.pdb,7
37,thermo_AF_filtered//AF-A4YIA6-F1-model_v4.pdb,7
38,thermo_AF_filtered//AF-A4YFY7-F1-model_v4.pdb,24
39,thermo_AF_filtered//AF-A1S074-F1-model_v4.pdb,0
40,thermo_AF_filtered//AF-A1RT35-F1-model_v4.pdb,21
41,thermo_AF_filtered//AF-A4YF22-F1-model_v4.pdb,0
42,thermo_AF_filtered//AF-D5TZQ0-F1-model_v4.pdb,6
43,thermo_AF_filtered//AF-A0A0V8RTG8-F1-model_v4.pdb,5
44,thermo_AF_filtered//AF-A3DKM7-F1-model_v4.pdb,34
45,thermo_AF_filtered//AF-O66629-F1-model_v4.pdb,17
46,thermo_AF_filtered//AF-A7HJ16-F1-model_v4.pdb,41
47,thermo_AF_filtered//AF-Q4J7W6-F1-model_v4.pdb,19
48,thermo_AF_filtered//AF-A1RYX2-F1-model_v4.pdb,18
49,thermo_AF_filtered//AF-A0A7M1UNI8-F1-model_v4.pdb,28
50,thermo_AF_filtered//AF-W0DHJ8-F1-model_v4.pdb,0
51,thermo_AF_filtered//AF-A0A7C5SYG3-F1-model_v4.pdb,0
52,thermo_AF_filtered//AF-A0A371QYU1-F1-model_v4.pdb,9
53,thermo_AF_filtered//AF-A0A7M1UPJ8-F1-model_v4.pdb,9
54,thermo_AF_filtered//AF-A0A830GVV7-F1-model_v4.pdb,19
55,thermo_AF_filtered//AF-B7IFY9-F1-model_v4.pdb,60
56,thermo_AF_filtered//AF-A2BKD1-F1-model_v4.pdb,34
57,thermo_AF_filtered//AF-A2BJS3-F1-model_v4.pdb,17
58,thermo_AF_filtered//AF-A0A088E4P7-F1-model_v4.pdb,2
59,thermo_AF_filtered//AF-F7YUS4-F1-model_v4.pdb,34
60,thermo_AF_filtered//AF-A0A650CNB4-F1-model_v4.pdb,4
61,thermo_AF_filtered//AF-A0A0V8RWY1-F1-model_v4.pdb,10
62,thermo_AF_filtered//AF-A0A0V8RW38-F1-model_v4.pdb,9
63,thermo_AF_filtered//AF-A0A0U3FS18-F1-model_v4.pdb,14
64,thermo_AF_filtered//AF-A0A088E6I0-F1-model_v4.pdb,1
65,thermo_AF_filtered//AF-A0A088E785-F1-model_v4.pdb,11
66,thermo_AF_filtered//AF-A0A7C4BBS8-F1-model_v4.pdb,18
67,thermo_AF_filtered//AF-A0A650CJ01-F1-model_v4.pdb,10
68,thermo_AF_filtered//AF-G0EF79-F1-model_v4.pdb,99
69,thermo_AF_filtered//AF-F7YYC6-F1-model_v4.pdb,13
70,thermo_AF_filtered//AF-A0A6A9QCH4-F1-model_v4.pdb,0
71,thermo_AF_filtered//AF-A0A401HAI5-F1-model_v4.pdb,8
72,thermo_AF_filtered//AF-K2NRC2-F1-model_v4.pdb,10
73,thermo_AF_filtered//AF-A0A401H7P2-F1-model_v4.pdb,10
74,thermo_AF_filtered//AF-A0A401HBM8-F1-model_v4.pdb,27
75,thermo_AF_filtered//AF-A0A7C4D3I8-F1-model_v4.pdb,1
76,thermo_AF_filtered//AF-K2PDS5-F1-model_v4.pdb,4
77,thermo_AF_filtered//AF-A0A830GV18-F1-model_v4.pdb,1
78,thermo_AF_filtered//AF-A3DPJ4-F1-model_v4.pdb,25
79,thermo_AF_filtered//AF-A0A7C4D8L2-F1-model_v4.pdb,23
80,thermo_AF_filtered//AF-A0A0U3EB73-F1-model_v4.pdb,9
81,thermo_AF_filtered//AF-A8MA91-F1-model_v4.pdb,25
82,thermo_AF_filtered//AF-A8M8X0-F1-model_v4.pdb,34
83,thermo_AF_filtered//AF-A1RX28-F1-model_v4.pdb,2
84,thermo_AF_filtered//AF-A0A830GUH5-F1-model_v4.pdb,40
85,thermo_AF_filtered//AF-A1RZL1-F1-model_v4.pdb,12
86,thermo_AF_filtered//AF-A1RYF1-F1-model_v4.pdb,29
87,thermo_AF_filtered//AF-F7YV52-F1-model_v4.pdb,23
88,thermo_AF_filtered//AF-A0A088E1W6-F1-model_v4.pdb,0
89,thermo_AF_filtered//AF-F7YXX9-F1-model_v4.pdb,9
90,thermo_AF_filtered//AF-E8R8M4-F1-model_v4.pdb,15
91,thermo_AF_filtered//AF-G0EGJ2-F1-model_v4.pdb,19
92,thermo_AF_filtered//AF-A0A830GTA1-F1-model_v4.pdb,1
93,thermo_AF_filtered//AF-A0A7C1SMH3-F1-model_v4.pdb,13
